"subids","trial_num","category","condition","prop_sub","prop_bas","prop_sup","exp"
1,9,"animals","one",1,1,0,3
2,9,"animals","one",1,0,0,3
3,9,"animals","one",1,0,0,3
4,9,"vegetables","one",0,0.5,0,3
5,9,"animals","3bas",1,1,0,3
6,9,"vehicles","one",1,0,0,3
7,9,"vegetables","3bas",0.5,1,0,3
8,9,"vegetables","3sup",1,1,1,3
9,9,"vegetables","3bas",1,0,0,3
10,9,"vegetables","3sup",1,1,1,3
11,9,"vegetables","3sup",1,0.5,1,3
12,9,"animals","3bas",0,0.5,0,3
13,9,"vehicles","3bas",1,0.5,0,3
14,9,"vehicles","3bas",1,1,0,3
15,9,"animals","3sup",1,1,1,3
16,9,"vehicles","one",1,0,0,3
17,9,"vegetables","3bas",1,1,0,3
18,9,"animals","3bas",1,1,0,3
19,9,"vehicles","3sup",1,0,0,3
20,9,"vehicles","3bas",1,1,0,3
21,9,"vegetables","3bas",1,1,0,3
22,9,"animals","3sup",1,0,0,3
23,9,"vegetables","one",1,0,0,3
24,9,"vehicles","one",0,0.5,0.75,3
25,9,"animals","3sup",1,1,1,3
26,9,"vegetables","one",1,0,0,3
27,9,"vehicles","3sup",1,1,1,3
28,9,"animals","3bas",1,1,0,3
29,9,"vegetables","3sup",0,0,1,3
30,9,"animals","3bas",1,1,0,3
31,9,"vegetables","3bas",1,1,0,3
32,9,"animals","3sup",0.5,0,0,3
33,9,"animals","3sup",1,1,1,3
34,9,"animals","one",1,0,0,3
35,9,"vegetables","3bas",1,1,0,3
36,9,"animals","3bas",1,1,0,3
37,9,"vegetables","one",1,0,0,3
38,9,"animals","3sup",1,0,0,3
39,9,"animals","3sup",0.5,0,0,3
40,9,"vehicles","3sup",1,0,0,3
41,9,"vehicles","3sup",1,1,1,3
42,9,"animals","one",1,1,0,3
43,9,"vegetables","3bas",1,1,0,3
44,9,"vegetables","3sup",1,1,1.25,3
45,9,"vegetables","3sup",1,1,1,3
46,9,"vehicles","one",1,0,0,3
47,9,"vehicles","3sup",1,1,1,3
48,9,"vehicles","3bas",1,1,0.25,3
49,9,"animals","3sup",1,1,1,3
50,9,"vegetables","3bas",1,1,0,3
1,8,"vegetables","one",1,1,0,3
2,8,"vehicles","one",1,0,0,3
3,8,"vegetables","one",1,0,0,3
4,8,"vehicles","one",1,0,0,3
5,8,"vegetables","3bas",1,1,0,3
6,8,"animals","one",1,0,0,3
7,8,"animals","3bas",1,1,0,3
8,8,"vehicles","3sup",1,1,1,3
9,8,"vehicles","3bas",1,0,0,3
10,8,"animals","3sup",1,1,1,3
11,8,"animals","3sup",1,1,1,3
12,8,"vehicles","3bas",0,0,0.25,3
13,8,"vegetables","3bas",1,1,0,3
14,8,"animals","3bas",1,1,0,3
15,8,"vehicles","3sup",1,1,1,3
16,8,"animals","one",1,0,0,3
17,8,"animals","3bas",1,1,0,3
18,8,"vehicles","3bas",1,1,0,3
19,8,"animals","3sup",1,0,0,3
20,8,"animals","3bas",1,1,0,3
21,8,"vehicles","3bas",1,1,0,3
22,8,"vehicles","3sup",1,0,0,3
23,8,"animals","one",1,0,0,3
24,8,"vegetables","one",0.5,0.5,0,3
25,8,"vehicles","3sup",1,1,0.75,3
26,8,"animals","one",1,0,0,3
27,8,"animals","3sup",1,1,1,3
28,8,"vegetables","3bas",1,1,0,3
29,8,"vehicles","3sup",0,0,0.5,3
30,8,"vegetables","3bas",1,1,0,3
31,8,"animals","3bas",1,1,0,3
32,8,"vegetables","3sup",1,0.5,0.25,3
33,8,"vehicles","3sup",1,1,1,3
34,8,"vegetables","one",1,0,0,3
35,8,"vehicles","3bas",1,1,0,3
36,8,"vegetables","3bas",1,1,0,3
37,8,"animals","one",1,0,0,3
38,8,"vehicles","3sup",1,0,0,3
39,8,"vehicles","3sup",1,0.5,0,3
40,8,"animals","3sup",1,0,0,3
41,8,"animals","3sup",1,1,1,3
42,8,"vehicles","one",1,1,0,3
43,8,"animals","3bas",1,1,0,3
44,8,"animals","3sup",1,1,1,3
45,8,"vehicles","3sup",1,1,0.75,3
46,8,"animals","one",1,0,0,3
47,8,"vegetables","3sup",1,1,1,3
48,8,"animals","3bas",1,1,0,3
49,8,"vegetables","3sup",1,1,1,3
50,8,"animals","3bas",1,1,0,3
1,12,"animals","3bas",1,1,0,3
2,12,"vegetables","3sup",1,1,0.75,3
3,12,"vehicles","3sup",1,1,1,3
4,12,"vehicles","3bas",1,0.5,0,3
5,12,"vegetables","3sup",1,1,1,3
6,12,"vegetables","3bas",1,1,0,3
7,12,"animals","3sup",1,1,1,3
8,12,"animals","one",1,0,0,3
9,12,"vegetables","one",1,0,0,3
10,12,"vehicles","one",1,0,0,3
11,12,"vehicles","one",1,0,0,3
12,12,"vegetables","3sup",0,0,0.25,3
13,12,"animals","one",1,0,0,3
14,12,"vehicles","3sup",1,1,1,3
15,12,"vehicles","3bas",1,1,0,3
16,12,"vegetables","3bas",1,1,0,3
17,12,"vehicles","one",1,0,0,3
18,12,"vegetables","3sup",0.5,1,0.25,3
19,12,"vegetables","one",1,0,0,3
20,12,"vegetables","one",1,1,0,3
21,12,"animals","3sup",1,1,1,3
22,12,"vehicles","one",1,0,0,3
23,12,"animals","3sup",1,1,1,3
24,12,"vehicles","3bas",1,1,0.25,3
25,12,"animals","one",0.5,0.5,0,3
26,12,"animals","3sup",1,1,1,3
27,12,"vegetables","one",1,0,0,3
28,12,"animals","3sup",1,1,1,3
29,12,"animals","one",1,0,0,3
30,12,"vehicles","one",1,0,0,3
31,12,"vegetables","one",1,1,0,3
32,12,"animals","3bas",0.5,0.5,0,3
33,12,"animals","3bas",1,1,0,3
34,12,"vehicles","3bas",1,1,0,3
35,12,"animals","one",1,0,0,3
36,12,"vehicles","3sup",1,1,1,3
37,12,"vehicles","3sup",1,1,0.75,3
38,12,"vegetables","3bas",1,1,0,3
39,12,"animals","3bas",1,0,0,3
40,12,"vehicles","3bas",1,1,0,3
41,12,"vehicles","one",0.5,0,0,3
42,12,"vehicles","3sup",1,1,1,3
43,12,"vehicles","one",1,0,0,3
44,12,"vehicles","one",1,0,0,3
45,12,"vehicles","3bas",0.5,1,0,3
46,12,"animals","3bas",1,1,0,3
47,12,"vegetables","one",1,0,0,3
48,12,"vegetables","3sup",1,1,1,3
49,12,"animals","3bas",1,1,0,3
50,12,"vehicles","3sup",0.5,1,0.75,3
1,11,"vehicles","3bas",1,1,0,3
2,11,"vehicles","3sup",1,1,1,3
3,11,"vegetables","3sup",1,1,1,3
4,11,"animals","3bas",1,1,0,3
5,11,"animals","3sup",1,1,1,3
6,11,"animals","3bas",1,1,0,3
7,11,"vehicles","3sup",1,1,1,3
8,11,"vegetables","one",1,0,0,3
9,11,"animals","one",1,0,0,3
10,11,"vegetables","one",1,0,0,3
11,11,"animals","one",1,0,0,3
12,11,"animals","3sup",0,0,0.25,3
13,11,"vegetables","one",1,0,0,3
14,11,"vegetables","3sup",1,1,1,3
15,11,"animals","3bas",1,1,0,3
16,11,"vehicles","3bas",0.5,1,0,3
17,11,"vegetables","one",1,0,0,3
18,11,"vehicles","3sup",0,0,0.5,3
19,11,"vehicles","one",1,0,0,3
20,11,"animals","one",1,0,0,3
21,11,"vehicles","3sup",1,1,1,3
22,11,"vegetables","one",1,0,0,3
23,11,"vehicles","3sup",1,1,0.75,3
24,11,"animals","3bas",1,1,0,3
25,11,"vegetables","one",1,0,0,3
26,11,"vehicles","3sup",1,1,1,3
27,11,"vehicles","one",1,0,0,3
28,11,"vegetables","3sup",1,1,1,3
29,11,"vehicles","one",1,1,0,3
30,11,"vegetables","one",1,0,0,3
31,11,"vehicles","one",1,0.5,0,3
32,11,"vehicles","3bas",1,0.5,0.25,3
33,11,"vegetables","3bas",1,1,0,3
34,11,"vegetables","3bas",1,1,0,3
35,11,"vegetables","one",1,0,0,3
36,11,"vegetables","3sup",1,1,1,3
37,11,"animals","3sup",1,1,0.5,3
38,11,"vehicles","3bas",1,1,0,3
39,11,"vehicles","3bas",1,1,0,3
40,11,"vegetables","3bas",1,1,0,3
41,11,"animals","one",1,0,0,3
42,11,"animals","3sup",1,1,1,3
43,11,"vegetables","one",1,0,0,3
44,11,"animals","one",1,0,0,3
45,11,"animals","3bas",0.5,1,0,3
46,11,"vehicles","3bas",1,1,0,3
47,11,"animals","one",1,0,0,3
48,11,"vehicles","3sup",1,1,1,3
49,11,"vehicles","3bas",1,1,0,3
50,11,"animals","3sup",1,1,1,3
1,1,"animals","3sub",1,0,0,3
2,1,"animals","3sub",1,0,0,3
3,1,"vehicles","3sub",1,0,0,3
4,1,"animals","3sub",0.5,0,0.25,3
5,1,"vehicles","3sub",1,0,0,3
6,1,"vegetables","3sub",1,1,0,3
7,1,"animals","3sub",1,0,0,3
8,1,"vehicles","3sub",1,0,0,3
9,1,"vehicles","3sub",1,0,0,3
10,1,"animals","3sub",1,0,0,3
11,1,"vehicles","3sub",1,1,0,3
12,1,"vehicles","3sub",0.5,1,0.75,3
13,1,"vehicles","3sub",1,1,0,3
14,1,"vegetables","3sub",1,0,0,3
15,1,"vehicles","3sub",1,0,0,3
16,1,"vegetables","3sub",1,0,0,3
17,1,"animals","3sub",0.5,1,0,3
18,1,"animals","3sub",1,0,0,3
19,1,"animals","3sub",1,0,0,3
20,1,"vehicles","3sub",1,0,0,3
21,1,"animals","3sub",1,0,0,3
22,1,"vehicles","3sub",1,0,0,3
23,1,"vehicles","3sub",1,0,0,3
24,1,"vehicles","3sub",1,0,0,3
25,1,"animals","3sub",1,0,0,3
26,1,"animals","3sub",1,1,0,3
27,1,"vehicles","3sub",1,0,0,3
28,1,"vegetables","3sub",1,0,0,3
29,1,"vegetables","3sub",1,0,0,3
30,1,"animals","3sub",1,0,0,3
31,1,"vegetables","3sub",1,1,0,3
32,1,"vegetables","3sub",1,0,0,3
33,1,"vehicles","3sub",1,0,0,3
34,1,"animals","3sub",1,0,0,3
35,1,"animals","3sub",1,0,0,3
36,1,"animals","3sub",1,0,0,3
37,1,"vegetables","3sub",1,0,0,3
38,1,"animals","3sub",0.5,0,0,3
39,1,"vehicles","3sub",1,1,0,3
40,1,"animals","3sub",1,0,0,3
41,1,"animals","3sub",1,0,0,3
42,1,"vehicles","3sub",1,0.5,0,3
43,1,"vehicles","3sub",1,0,0,3
44,1,"vegetables","3sub",1,1,1,3
45,1,"vehicles","3sub",1,0,0,3
46,1,"vehicles","3sub",0.5,0,0,3
47,1,"vehicles","3sub",1,0,0,3
48,1,"animals","3sub",1,1,0,3
49,1,"animals","3sub",1,0,0,3
50,1,"vehicles","3sub",1,0,0,3
1,3,"vegetables","3sub",1,0,0,3
2,3,"vegetables","3sub",1,0,0,3
3,3,"animals","3sub",1,0,0,3
4,3,"vehicles","3sub",1,0,0,3
5,3,"animals","3sub",1,0,0,3
6,3,"vehicles","3sub",1,1,0,3
7,3,"vehicles","3sub",1,0,0,3
8,3,"vegetables","3sub",1,0,0,3
9,3,"vegetables","3sub",1,0,0,3
10,3,"vegetables","3sub",1,0,0,3
11,3,"animals","3sub",1,1,0,3
12,3,"vegetables","3sub",0,0,0.25,3
13,3,"animals","3sub",1,0,0,3
14,3,"animals","3sub",1,0,0,3
15,3,"vegetables","3sub",1,0,0,3
16,3,"vehicles","3sub",1,0,0,3
17,3,"vehicles","3sub",1,0,0,3
18,3,"vegetables","3sub",1,0,0,3
19,3,"vehicles","3sub",1,0,0,3
20,3,"animals","3sub",1,0,0,3
21,3,"vehicles","3sub",1,0,0,3
22,3,"vegetables","3sub",1,0,0,3
23,3,"animals","3sub",1,0,0,3
24,3,"vegetables","3sub",1,0,0,3
25,3,"vehicles","3sub",1,0,0,3
26,3,"vehicles","3sub",0.5,0,0,3
27,3,"animals","3sub",1,0,0,3
28,3,"vehicles","3sub",1,0,0,3
29,3,"vehicles","3sub",0.5,1,1,3
30,3,"vehicles","3sub",1,0,0,3
31,3,"vehicles","3sub",1,0,0,3
32,3,"animals","3sub",1,0,0,3
33,3,"animals","3sub",1,0,0,3
34,3,"vegetables","3sub",1,0,0,3
35,3,"vegetables","3sub",1,0,0,3
36,3,"vegetables","3sub",1,0,0,3
37,3,"vehicles","3sub",1,0,0,3
38,3,"vegetables","3sub",1,0,0,3
39,3,"vegetables","3sub",1,0,0,3
40,3,"vehicles","3sub",1,0,0,3
41,3,"vegetables","3sub",1,0,0,3
42,3,"vegetables","3sub",1,0.5,0,3
43,3,"vegetables","3sub",1,0,0,3
44,3,"vehicles","3sub",1,1,0,3
45,3,"vegetables","3sub",1,1,0,3
46,3,"vegetables","3sub",1,0,0,3
47,3,"vegetables","3sub",1,0,0,3
48,3,"vehicles","3sub",1,0,0,3
49,3,"vegetables","3sub",1,0,0,3
50,3,"vegetables","3sub",1,0,0,3
1,2,"vehicles","3sub",1,0,0,3
2,2,"vehicles","3sub",1,0,0,3
3,2,"vegetables","3sub",1,0,0,3
4,2,"vegetables","3sub",1,1,0,3
5,2,"vegetables","3sub",1,1,0,3
6,2,"animals","3sub",1,0,0,3
7,2,"vegetables","3sub",1,0,0,3
8,2,"animals","3sub",1,0,0,3
9,2,"animals","3sub",1,0,0,3
10,2,"vehicles","3sub",1,0,0,3
11,2,"vegetables","3sub",1,1,0,3
12,2,"animals","3sub",0,0,0.25,3
13,2,"vegetables","3sub",1,0,0,3
14,2,"vehicles","3sub",1,0,0,3
15,2,"animals","3sub",1,0,0,3
16,2,"animals","3sub",1,0,0,3
17,2,"vegetables","3sub",1,1,0,3
18,2,"vehicles","3sub",1,1,0,3
19,2,"vegetables","3sub",1,0,0,3
20,2,"vegetables","3sub",1,1,0,3
21,2,"vegetables","3sub",1,0,0,3
22,2,"animals","3sub",1,0,0,3
23,2,"vegetables","3sub",1,1,0,3
24,2,"animals","3sub",1,0,0,3
25,2,"vegetables","3sub",1,0,0,3
26,2,"vegetables","3sub",1,0,0,3
27,2,"vegetables","3sub",1,0,0,3
28,2,"animals","3sub",1,0,0,3
29,2,"animals","3sub",0,0,0.5,3
30,2,"vegetables","3sub",1,0,0,3
31,2,"animals","3sub",1,0,0,3
32,2,"vehicles","3sub",1,0,0.25,3
33,2,"vegetables","3sub",1,1,0,3
34,2,"vehicles","3sub",1,0,0,3
35,2,"vehicles","3sub",1,0,0,3
36,2,"vehicles","3sub",1,0,0,3
37,2,"animals","3sub",1,0,0,3
38,2,"vehicles","3sub",1,0,0,3
39,2,"animals","3sub",1,0,0,3
40,2,"vegetables","3sub",1,0,0,3
41,2,"vehicles","3sub",1,0,0,3
42,2,"animals","3sub",1,0.5,0,3
43,2,"animals","3sub",1,0,0,3
44,2,"animals","3sub",1,0,0,3
45,2,"animals","3sub",1,0,0,3
46,2,"animals","3sub",1,0,0,3
47,2,"animals","3sub",1,0,0,3
48,2,"vegetables","3sub",1,0.5,0,3
49,2,"vehicles","3sub",1,0,0,3
50,2,"animals","3sub",1,0,0,3
1,5,"animals","3sup",1,1,1,3
2,5,"animals","3bas",1,1,0,3
3,5,"vegetables","3bas",1,1,0,3
4,5,"animals","3sup",1,0,0,3
5,5,"animals","one",1,1,0,3
6,5,"animals","3sup",1,1,1,3
7,5,"animals","one",1,1,0,3
8,5,"vehicles","3bas",1,1,0,3
9,5,"vehicles","3sup",1,0,0,3
10,5,"vehicles","3bas",1,1,0,3
11,5,"animals","3bas",1,0.5,0,3
12,5,"vehicles","one",0,0,0.25,3
13,5,"vehicles","3sup",1,1,1,3
14,5,"animals","one",1,0,0,3
15,5,"vegetables","one",1,0,0,3
16,5,"vehicles","3sup",1,1,1,3
17,5,"vehicles","3sup",1,1,1,3
18,5,"vehicles","one",1,0,0,3
19,5,"animals","3bas",1,0,0,3
20,5,"vehicles","3sup",1,1,1,3
21,5,"vehicles","one",0.5,0,0,3
22,5,"vehicles","3bas",1,1,0,3
23,5,"animals","3bas",1,1,0,3
24,5,"animals","3sup",1,1,1,3
25,5,"vehicles","3bas",1,1,0,3
26,5,"vegetables","3bas",1,1,0,3
27,5,"vegetables","3bas",1,1,0,3
28,5,"vehicles","one",0.5,0,0,3
29,5,"vehicles","3bas",1,1,0,3
30,5,"vegetables","3sup",1,1,1,3
31,5,"animals","3sup",1,1,1,3
32,5,"vegetables","one",1,0,0,3
33,5,"animals","one",1,0,0,3
34,5,"animals","3sup",1,1,1,3
35,5,"vehicles","3sup",1,0,0,3
36,5,"animals","one",1,0,0,3
37,5,"animals","3bas",1,0,0,3
38,5,"vehicles","one",1,0,0,3
39,5,"animals","one",1,0,0,3
40,5,"vehicles","one",1,0,0,3
41,5,"animals","3bas",1,1,0,3
42,5,"animals","3bas",1,0.5,0,3
43,5,"vehicles","3sup",1,1,0.5,3
44,5,"vehicles","3bas",1,1,0,3
45,5,"vehicles","one",0.5,0.5,0,3
46,5,"vehicles","3sup",1,1,0.75,3
47,5,"vehicles","3bas",1,1,0,3
48,5,"vehicles","one",1,0,0,3
49,5,"vehicles","one",1,1,0,3
50,5,"animals","one",1,0,0,3
1,4,"vehicles","3sup",1,1,1,3
2,4,"vehicles","3bas",0,1,0,3
3,4,"animals","3bas",1,1,0,3
4,4,"vehicles","3sup",1,0,0,3
5,4,"vegetables","one",1,1,0,3
6,4,"vehicles","3sup",1,1,0.75,3
7,4,"vegetables","one",1,1,0,3
8,4,"vegetables","3bas",1,1,0,3
9,4,"animals","3sup",1,0,0,3
10,4,"vegetables","3bas",1,1,0,3
11,4,"vegetables","3bas",1,1,0,3
12,4,"vegetables","one",0.5,0,0,3
13,4,"animals","3sup",1,1,0.75,3
14,4,"vehicles","one",1,0,0,3
15,4,"vehicles","one",1,0,0,3
16,4,"animals","3sup",1,1,1,3
17,4,"vegetables","3sup",1,1,1,3
18,4,"vegetables","one",1,0,0,3
19,4,"vehicles","3bas",1,0.5,0,3
20,4,"vegetables","3sup",1,1,1,3
21,4,"animals","one",1,0,0,3
22,4,"vegetables","3bas",1,1,0,3
23,4,"vegetables","3bas",1,1,0,3
24,4,"vegetables","3sup",1,1,1,3
25,4,"vegetables","3bas",1,0.5,0,3
26,4,"vehicles","3bas",1,1,0,3
27,4,"animals","3bas",1,1,0,3
28,4,"vegetables","one",1,0,0,3
29,4,"animals","3bas",1,1,0,3
30,4,"vehicles","3sup",0.5,1,1,3
31,4,"vehicles","3sup",1,1,0.75,3
32,4,"animals","one",1,0,0,3
33,4,"vehicles","one",1,0,0,3
34,4,"vehicles","3sup",1,1,0.75,3
35,4,"animals","3sup",1,0,0,3
36,4,"vehicles","one",1,0,0,3
37,4,"vegetables","3bas",1,1,0,3
38,4,"animals","one",1,0,0,3
39,4,"vegetables","one",1,0,0,3
40,4,"vegetables","one",1,0,0,3
41,4,"vehicles","3bas",1,1,0,3
42,4,"vehicles","3bas",1,0.5,0,3
43,4,"animals","3sup",1,1,1,3
44,4,"animals","3bas",1,1,0,3
45,4,"vegetables","one",1,0,0,3
46,4,"vegetables","3sup",1,1,1,3
47,4,"vegetables","3bas",1,1,0,3
48,4,"vegetables","one",1,0,0,3
49,4,"vegetables","one",1,1,0,3
50,4,"vehicles","one",1,0,0,3
1,7,"vehicles","one",1,1,0,3
2,7,"vegetables","one",1,0,0,3
3,7,"vehicles","one",1,0,0,3
4,7,"animals","one",1,0,0,3
5,7,"vehicles","3bas",1,1,0,3
6,7,"vegetables","one",1,0,0,3
7,7,"vehicles","3bas",1,1,0,3
8,7,"animals","3sup",1,1,1,3
9,7,"animals","3bas",1,0,0,3
10,7,"vehicles","3sup",1,1,1,3
11,7,"vehicles","3sup",1,1,1,3
12,7,"vegetables","3bas",0,0,0.25,3
13,7,"animals","3bas",1,1,0,3
14,7,"vegetables","3bas",1,1,0,3
15,7,"vegetables","3sup",1,1,1,3
16,7,"vegetables","one",1,0,0,3
17,7,"vehicles","3bas",1,1,0,3
18,7,"vegetables","3bas",1,1,0,3
19,7,"vegetables","3sup",0,0,0.25,3
20,7,"vegetables","3bas",1,1,0,3
21,7,"animals","3bas",1,1,0,3
22,7,"vegetables","3sup",1,0,0,3
23,7,"vehicles","one",1,0,0,3
24,7,"animals","one",0.5,0.5,0.25,3
25,7,"vegetables","3sup",1,1,0.75,3
26,7,"vehicles","one",1,0,0,3
27,7,"vegetables","3sup",1,1,0.75,3
28,7,"vehicles","3bas",1,1,0,3
29,7,"animals","3sup",0,0,0.75,3
30,7,"vehicles","3bas",1,1,0,3
31,7,"vehicles","3bas",1,1,0,3
32,7,"vehicles","3sup",1,0,0,3
33,7,"vegetables","3sup",1,1,1,3
34,7,"vehicles","one",1,0,0,3
35,7,"animals","3bas",1,1,0,3
36,7,"vehicles","3bas",1,1,0,3
37,7,"vehicles","one",1,0,0,3
38,7,"vegetables","3sup",1,0,0,3
39,7,"vegetables","3sup",1,0,0,3
40,7,"vegetables","3sup",1,0,0,3
41,7,"vegetables","3sup",1,1,1,3
42,7,"vegetables","one",1,0.5,0,3
43,7,"vehicles","3bas",1,1,0,3
44,7,"vehicles","3sup",1,1,1,3
45,7,"animals","3sup",1,1,0.5,3
46,7,"vegetables","one",1,0,0,3
47,7,"animals","3sup",1,1,1,3
48,7,"vegetables","3bas",1,1,0,3
49,7,"vehicles","3sup",1,1,0.75,3
50,7,"vehicles","3bas",1,1,0,3
1,6,"vegetables","3sup",1,1,1,3
2,6,"vegetables","3bas",1,1,0,3
3,6,"vehicles","3bas",1,1,1,3
4,6,"vegetables","3sup",0,0.5,0,3
5,6,"vehicles","one",1,1,0.75,3
6,6,"vegetables","3sup",1,1,0.75,3
7,6,"vehicles","one",1,0,0,3
8,6,"animals","3bas",1,1,0,3
9,6,"vegetables","3sup",1,0,0,3
10,6,"animals","3bas",1,1,0,3
11,6,"vehicles","3bas",1,1,0,3
12,6,"animals","one",0,0,0.25,3
13,6,"vegetables","3sup",1,1,1,3
14,6,"vegetables","one",1,0,0,3
15,6,"animals","one",1,0,0,3
16,6,"vegetables","3sup",1,1,0.75,3
17,6,"animals","3sup",1,1,1,3
18,6,"animals","one",1,0,0,3
19,6,"vegetables","3bas",1,1,0,3
20,6,"animals","3sup",1,1,1,3
21,6,"vegetables","one",1,0.5,0,3
22,6,"animals","3bas",1,1,0,3
23,6,"vehicles","3bas",1,1,0,3
24,6,"vehicles","3sup",1,1,1,3
25,6,"animals","3bas",1,1,0,3
26,6,"animals","3bas",1,1,0,3
27,6,"vehicles","3bas",1,1,0,3
28,6,"animals","one",0.5,0,0,3
29,6,"vegetables","3bas",1,0.5,0,3
30,6,"animals","3sup",1,1,1,3
31,6,"vegetables","3sup",1,1,0.75,3
32,6,"vehicles","one",1,1,0,3
33,6,"vegetables","one",1,0.5,0,3
34,6,"vegetables","3sup",1,1,1,3
35,6,"vegetables","3sup",1,0,0,3
36,6,"vegetables","one",1,0,0,3
37,6,"vehicles","3bas",1,0.5,0,3
38,6,"vegetables","one",1,0,0,3
39,6,"vehicles","one",1,0,0,3
40,6,"animals","one",1,0,0,3
41,6,"vegetables","3bas",1,1,0,3
42,6,"vegetables","3bas",1,0.5,0,3
43,6,"vegetables","3sup",1,1,1,3
44,6,"vegetables","3bas",1,1,0,3
45,6,"animals","one",1,1,0.5,3
46,6,"animals","3sup",1,1,1,3
47,6,"animals","3bas",1,1,0,3
48,6,"animals","one",1,0,0,3
49,6,"animals","one",1,1,0,3
50,6,"vegetables","one",1,0,0,3
1,10,"vegetables","3bas",1,1,0,3
2,10,"animals","3sup",1,1,1,3
3,10,"animals","3sup",1,1,1,3
4,10,"vegetables","3bas",1,1,0,3
5,10,"vehicles","3sup",1,1,0.75,3
6,10,"vehicles","3bas",1,1,0,3
7,10,"vegetables","3sup",1,1,1,3
8,10,"vehicles","one",1,0,0,3
9,10,"vehicles","one",1,0,0,3
10,10,"animals","one",1,0,0,3
11,10,"vegetables","one",1,0,0,3
12,10,"vehicles","3sup",0.5,0,0,3
13,10,"vehicles","one",1,0,0,3
14,10,"animals","3sup",1,1,1,3
15,10,"vegetables","3bas",1,1,0,3
16,10,"animals","3bas",1,1,0,3
17,10,"animals","one",1,0,0,3
18,10,"animals","3sup",0,1,0.5,3
19,10,"animals","one",0.5,0,0,3
20,10,"vehicles","one",1,0,0,3
21,10,"vegetables","3sup",1,1,1,3
22,10,"animals","one",1,0,0,3
23,10,"vegetables","3sup",1,1,1,3
24,10,"vegetables","3bas",1,1,0,3
25,10,"vehicles","one",1,0,0,3
26,10,"vegetables","3sup",1,1,1,3
27,10,"animals","one",1,0,0,3
28,10,"vehicles","3sup",1,1,0.75,3
29,10,"vegetables","one",1,1,0,3
30,10,"animals","one",1,0,0,3
31,10,"animals","one",1,1,0,3
32,10,"vegetables","3bas",1,1,0,3
33,10,"vehicles","3bas",1,1,0,3
34,10,"animals","3bas",1,1,0,3
35,10,"vehicles","one",1,0,0,3
36,10,"animals","3sup",1,1,1,3
37,10,"vegetables","3sup",1,1,0.75,3
38,10,"animals","3bas",0.5,0,0,3
39,10,"vegetables","3bas",1,1,0,3
40,10,"animals","3bas",1,0,0,3
41,10,"vegetables","one",1,1,0,3
42,10,"vegetables","3sup",1,1,0.75,3
43,10,"animals","one",1,0,0,3
44,10,"vegetables","one",1,0,0,3
45,10,"vegetables","3bas",1,1,0,3
46,10,"vegetables","3bas",1,1,0,3
47,10,"vehicles","one",1,0,0,3
48,10,"animals","3sup",1,1,1,3
49,10,"vegetables","3bas",1,1,0,3
50,10,"vegetables","3sup",1,1,1,3
