subids,trial_num,category,condition,prop_sub,prop_bas,prop_sup,exp
1,9,vegetables,three_superordinate,1,1,1,11
2,9,vehicles,one,1,0,0,11
3,9,animals,one,1,0,0,11
4,9,vehicles,three_superordinate,1,0,0.25,11
5,9,vegetables,three_superordinate,1,1,1,11
6,9,animals,one,1,0,0,11
7,9,vehicles,one,1,0,0,11
8,9,vegetables,one,1,0,0,11
9,9,animals,one,1,0,0,11
10,9,animals,three_superordinate,1,1,0.25,11
11,9,animals,one,1,0,0,11
12,9,animals,three_basic,1,1,0,11
13,9,vehicles,three_superordinate,1,1,1,11
14,9,vegetables,three_superordinate,1,1,0.75,11
15,9,animals,three_basic,1,1,0,11
16,9,vehicles,three_superordinate,1,1,0.75,11
17,9,vehicles,three_superordinate,1,1,1,11
18,9,animals,one,1,0,0,11
19,9,vehicles,one,1,0,0,11
20,9,animals,three_superordinate,1,1,1,11
21,9,vegetables,three_basic,1,1,0,11
22,9,vegetables,one,1,0,0,11
23,9,vegetables,three_basic,1,1,0,11
24,9,vegetables,one,1,0,0,11
25,9,animals,one,1,0,0,11
26,9,vegetables,three_superordinate,1,1,1,11
27,9,vehicles,three_basic,1,1,0,11
28,9,vehicles,three_basic,1,0.5,0,11
29,9,vehicles,one,1,0,0,11
30,9,animals,three_basic,1,1,0,11
31,9,vehicles,one,1,1,1,11
32,9,animals,three_basic,1,1,0,11
33,9,animals,three_basic,1,1,0,11
34,9,vehicles,three_basic,1,1,0,11
35,9,vehicles,one,1,0,0,11
36,9,vehicles,three_basic,0.5,1,0,11
37,9,vehicles,three_superordinate,1,1,1,11
38,9,vehicles,three_basic,1,0.5,0,11
39,9,vegetables,three_basic,1,1,0,11
40,9,vegetables,one,1,1,0,11
41,9,vehicles,three_basic,1,1,0,11
42,9,vegetables,three_superordinate,1,1,0.75,11
43,9,vehicles,three_superordinate,1,1,1,11
44,9,vegetables,three_basic,1,1,0,11
45,9,animals,three_basic,0,0.5,0,11
46,9,vehicles,three_superordinate,1,1,1,11
47,9,animals,one,1,0,0,11
48,9,animals,three_basic,1,1,0,11
49,9,animals,three_superordinate,1,1,1,11
50,9,animals,one,1,0.5,0,11
1,8,animals,one,1,0,0,11
2,8,vehicles,three_basic,1,1,0,11
3,8,vegetables,three_basic,1,0.5,0,11
4,8,animals,three_basic,0.5,0.5,0,11
5,8,vehicles,three_superordinate,1,1,1,11
6,8,vegetables,one,1,0,0,11
7,8,vegetables,one,1,0,0,11
8,8,vegetables,three_superordinate,1,1,1,11
9,8,vegetables,three_basic,1,1,0,11
10,8,vehicles,three_superordinate,1,1,0.5,11
11,8,vegetables,three_superordinate,1,1,1,11
12,8,vegetables,one,1,1,0,11
13,8,animals,three_basic,1,0,0,11
14,8,vehicles,one,1,0,0,11
15,8,vegetables,three_basic,1,1,0,11
16,8,vegetables,three_superordinate,1,1,0.75,11
17,8,vegetables,three_superordinate,1,1,0.75,11
18,8,animals,three_basic,0.5,1,0,11
19,8,vegetables,one,1,0,0,11
20,8,vegetables,three_basic,1,1,0,11
21,8,animals,one,1,0,0,11
22,8,vegetables,three_superordinate,1,0,0,11
23,8,animals,three_superordinate,1,1,1,11
24,8,vehicles,one,1,1,0,11
25,8,vehicles,one,1,0,0,11
26,8,vehicles,three_basic,1,1,0,11
27,8,vegetables,one,1,0,0,11
28,8,vegetables,three_superordinate,1,1,1,11
29,8,vehicles,three_basic,1,1,0,11
30,8,vegetables,three_basic,1,1,0,11
31,8,vegetables,three_basic,1,1,0.75,11
32,8,animals,one,1,0,0,11
33,8,vegetables,three_basic,1,1,0,11
34,8,vehicles,three_superordinate,1,1,1,11
35,8,vehicles,three_superordinate,1,0,0,11
36,8,vehicles,three_superordinate,0,0,0.25,11
37,8,vegetables,one,1,1,0,11
38,8,vehicles,one,1,0,0,11
39,8,vegetables,one,1,1,0,11
40,8,vehicles,one,1,0,0,11
41,8,vegetables,three_basic,1,1,0,11
42,8,animals,one,1,0,0,11
43,8,vegetables,three_basic,1,1,0,11
44,8,vehicles,one,1,0,0,11
45,8,vegetables,three_basic,0.5,0,0,11
46,8,animals,one,1,0,0,11
47,8,vegetables,one,1,0,0,11
48,8,vehicles,one,1,0,0,11
49,8,animals,one,1,0,0,11
50,8,vegetables,three_superordinate,0,0.5,0.5,11
1,12,animals,three_superordinate,1,1,1,11
2,12,animals,one,1,0,0,11
3,12,animals,three_basic,1,1,0,11
4,12,vegetables,three_basic,1,0.5,0,11
5,12,vehicles,three_basic,1,1,0,11
6,12,vehicles,three_basic,1,0,0,11
7,12,vehicles,three_superordinate,1,1,0.75,11
8,12,vehicles,one,1,0,0,11
9,12,vegetables,three_superordinate,1,0,0,11
10,12,vehicles,one,1,0,0,11
11,12,vehicles,three_superordinate,1,1,1,11
12,12,vehicles,three_superordinate,1,1.5,1,11
13,12,animals,one,1,0,0,11
14,12,vehicles,three_superordinate,1,1,1,11
15,12,vehicles,three_basic,1,1,0,11
16,12,vehicles,one,1,0,0,11
17,12,vegetables,one,1,0,0,11
18,12,vegetables,three_superordinate,0.5,0,0.5,11
19,12,animals,one,1,0,0,11
20,12,vegetables,three_superordinate,1,1,1,11
21,12,animals,three_superordinate,1,1,1,11
22,12,animals,three_superordinate,1,1,0,11
23,12,vehicles,one,1,0,0,11
24,12,animals,three_superordinate,1,1,1,11
25,12,vehicles,three_superordinate,1,1,1,11
26,12,vegetables,one,1,1,0,11
27,12,vehicles,three_superordinate,1,1,0.75,11
28,12,vehicles,three_superordinate,1,1,0.75,11
29,12,vegetables,three_superordinate,1,1,1,11
30,12,animals,three_superordinate,1,1,1,11
31,12,animals,three_superordinate,1,1,1,11
32,12,vegetables,one,1,0,0,11
33,12,animals,three_superordinate,1,1,1,11
34,12,vegetables,three_superordinate,1,1,1,11
35,12,animals,three_superordinate,1,0,0,11
36,12,animals,three_superordinate,1,1,0.5,11
37,12,animals,one,1,1,0,11
38,12,animals,one,1,0,0,11
39,12,vehicles,three_basic,1,1,0,11
40,12,vehicles,three_basic,1,1,0,11
41,12,animals,one,1,0,0,11
42,12,vehicles,one,1,0,0,11
43,12,vehicles,one,1,0,0,11
44,12,vehicles,three_basic,1,1,0,11
45,12,animals,one,0.5,1,0,11
46,12,vegetables,three_basic,1,1,0,11
47,12,vegetables,three_superordinate,1,1,1,11
48,12,animals,three_superordinate,1,1,1,11
49,12,animals,three_basic,1,1,0,11
50,12,vegetables,one,1,0,0,11
1,11,vehicles,three_basic,1,1,0,11
2,11,vehicles,three_superordinate,1,1,0.75,11
3,11,vehicles,three_basic,1,1,0,11
4,11,animals,three_superordinate,1,0,0,11
5,11,animals,one,1,1,0,11
6,11,vegetables,three_basic,1,1,0,11
7,11,vegetables,three_superordinate,1,1,1,11
8,11,animals,three_superordinate,1,1,1,11
9,11,vehicles,one,1,0,0,11
10,11,vegetables,one,1,0,0,11
11,11,animals,three_superordinate,1,1,1,11
12,11,vehicles,one,1,1,0,11
13,11,vehicles,three_basic,0.5,1,0,11
14,11,animals,three_superordinate,1,1,1,11
15,11,animals,one,1,0,0,11
16,11,vegetables,one,1,0,0,11
17,11,vehicles,one,1,0,0,11
18,11,vegetables,one,1,0,0,11
19,11,animals,three_superordinate,1,1,1,11
20,11,vehicles,three_superordinate,1,1,0.75,11
21,11,vegetables,three_superordinate,1,1,1,11
22,11,vehicles,one,1,0,0,11
23,11,animals,one,1,0,0,11
24,11,vehicles,three_basic,1,1,0,11
25,11,animals,three_basic,1,1,0,11
26,11,animals,one,1,0,0,11
27,11,animals,one,1,0,0,11
28,11,vegetables,one,1,0,0,11
29,11,vehicles,three_superordinate,1,1,0.75,11
30,11,vehicles,three_basic,1,1,0,11
31,11,vegetables,three_superordinate,1,1,1,11
32,11,animals,three_superordinate,1,1,0.75,11
33,11,vegetables,three_superordinate,1,1,1,11
34,11,animals,one,1,0,0,11
35,11,animals,one,1,0,0,11
36,11,vegetables,three_basic,1,1,0,11
37,11,vegetables,three_basic,1,1,0,11
38,11,animals,three_basic,1,1,0,11
39,11,animals,three_superordinate,1,1,1,11
40,11,animals,three_basic,1,1,0,11
41,11,vehicles,three_superordinate,1,1,1,11
42,11,vegetables,one,1,0,0,11
43,11,animals,three_superordinate,1,1,1,11
44,11,animals,three_basic,1,0.5,0,11
45,11,vehicles,one,0.5,0.5,0,11
46,11,animals,three_basic,1,0.5,0,11
47,11,animals,three_basic,1,1,0,11
48,11,vehicles,three_basic,1,1,0,11
49,11,vehicles,three_superordinate,1,1,1,11
50,11,vegetables,three_basic,1,1,0,11
1,1,animals,three_subordinate,1,0,0,11
2,1,vehicles,three_subordinate,0.5,0,0,11
3,1,vegetables,three_subordinate,1,0,0,11
4,1,vehicles,three_subordinate,1,1,0,11
5,1,vehicles,three_subordinate,1,0.5,0,11
6,1,vegetables,three_subordinate,0.5,0,0,11
7,1,vegetables,three_subordinate,1,0,0,11
8,1,animals,three_subordinate,1,0,0,11
9,1,animals,three_subordinate,1,0,0,11
10,1,animals,three_subordinate,1,0.5,0,11
11,1,vehicles,three_subordinate,1,0,0,11
12,1,vegetables,three_subordinate,1,0,0,11
13,1,animals,three_subordinate,1,0,0,11
14,1,vegetables,three_subordinate,1,0,0,11
15,1,animals,three_subordinate,1,0,0,11
16,1,animals,three_subordinate,1,1,0,11
17,1,vehicles,three_subordinate,1,1,0,11
18,1,vegetables,three_subordinate,1,0.5,0,11
19,1,vehicles,three_subordinate,1,1,0,11
20,1,animals,three_subordinate,1,0,0,11
21,1,vegetables,three_subordinate,1,0,0,11
22,1,vegetables,three_subordinate,1,0,0,11
23,1,animals,three_subordinate,1,0,0,11
24,1,vehicles,three_subordinate,0,0.5,0,11
25,1,animals,three_subordinate,1,1,0,11
26,1,vegetables,three_subordinate,1,1,0,11
27,1,animals,three_subordinate,1,0,0,11
28,1,vegetables,three_subordinate,1,1,0,11
29,1,vegetables,three_subordinate,1,1,0,11
30,1,animals,three_subordinate,1,0,0,11
31,1,animals,three_subordinate,1,1,1,11
32,1,vegetables,three_subordinate,1,1,0,11
33,1,vegetables,three_subordinate,1,0,0,11
34,1,animals,three_subordinate,1,0,0,11
35,1,vehicles,three_subordinate,1,0,0,11
36,1,vehicles,three_subordinate,0.5,0,0,11
37,1,vehicles,three_subordinate,1,0,0,11
38,1,vehicles,three_subordinate,0.5,0,0,11
39,1,animals,three_subordinate,1,0,0,11
40,1,vehicles,three_subordinate,1,0,0,11
41,1,animals,three_subordinate,1,0,0,11
42,1,vehicles,three_subordinate,0.5,1,0,11
43,1,animals,three_subordinate,1,0,0,11
44,1,vehicles,three_subordinate,1,0,0,11
45,1,vehicles,three_subordinate,0.5,0,0,11
46,1,vehicles,three_subordinate,1,1,0.5,11
47,1,vegetables,three_subordinate,1,0,0,11
48,1,vehicles,three_subordinate,0.5,0,0,11
49,1,vegetables,three_subordinate,1,1,0,11
50,1,vehicles,three_subordinate,1,0.5,0,11
1,3,vehicles,three_subordinate,1,0,0,11
2,3,vegetables,three_subordinate,1,1,0,11
3,3,animals,three_subordinate,1,0,0,11
4,3,vegetables,three_subordinate,1,1,0,11
5,3,vegetables,three_subordinate,1,1,0,11
6,3,vehicles,three_subordinate,1,0,0,11
7,3,animals,three_subordinate,1,0,0,11
8,3,vegetables,three_subordinate,1,0,0,11
9,3,vegetables,three_subordinate,1,0,0,11
10,3,vegetables,three_subordinate,1,0.5,0,11
11,3,animals,three_subordinate,1,0,0,11
12,3,vehicles,three_subordinate,1,0,0,11
13,3,vegetables,three_subordinate,1,1,0,11
14,3,animals,three_subordinate,1,0,0,11
15,3,vehicles,three_subordinate,1,0,0,11
16,3,vegetables,three_subordinate,1,0,0,11
17,3,animals,three_subordinate,1,1,0,11
18,3,vehicles,three_subordinate,1,0.5,0,11
19,3,vegetables,three_subordinate,1,0,0,11
20,3,vegetables,three_subordinate,1,0,0,11
21,3,vehicles,three_subordinate,1,0,0,11
22,3,animals,three_subordinate,1,0,0,11
23,3,vehicles,three_subordinate,1,0,0,11
24,3,animals,three_subordinate,1,1,0,11
25,3,vehicles,three_subordinate,1,0,0,11
26,3,animals,three_subordinate,1,0,0,11
27,3,vehicles,three_subordinate,1,0,0,11
28,3,animals,three_subordinate,1,0,0,11
29,3,vehicles,three_subordinate,1,1,0,11
30,3,vegetables,three_subordinate,1,1,0,11
31,3,vehicles,three_subordinate,1,1,1,11
32,3,animals,three_subordinate,1,0,0,11
33,3,vehicles,three_subordinate,1,0,0,11
34,3,vehicles,three_subordinate,1,0,0,11
35,3,vegetables,three_subordinate,1,0,0,11
36,3,vegetables,three_subordinate,1,0,0,11
37,3,animals,three_subordinate,1,1,0,11
38,3,animals,three_subordinate,0.5,0,0,11
39,3,vehicles,three_subordinate,1,0.5,0,11
40,3,vegetables,three_subordinate,1,0,0,11
41,3,vehicles,three_subordinate,1,0,0,11
42,3,animals,three_subordinate,1,1,0,11
43,3,vehicles,three_subordinate,1,0,0,11
44,3,animals,three_subordinate,1,0,0,11
45,3,vegetables,three_subordinate,0.5,0,0,11
46,3,vegetables,three_subordinate,1,0,0,11
47,3,vehicles,three_subordinate,1,0,0,11
48,3,vegetables,three_subordinate,0.5,0,0,11
49,3,animals,three_subordinate,1,0,0,11
50,3,vegetables,three_subordinate,1,0.5,0,11
1,2,vegetables,three_subordinate,1,0,0,11
2,2,animals,three_subordinate,1,1,0,11
3,2,vehicles,three_subordinate,0.5,0,0,11
4,2,animals,three_subordinate,1,0,0,11
5,2,animals,three_subordinate,1,1,0,11
6,2,animals,three_subordinate,1,0,0,11
7,2,vehicles,three_subordinate,1,0,0,11
8,2,vehicles,three_subordinate,1,0,0,11
9,2,vehicles,three_subordinate,1,0,0,11
10,2,vehicles,three_subordinate,1,0.5,0,11
11,2,vegetables,three_subordinate,1,1,0,11
12,2,animals,three_subordinate,1,0,0,11
13,2,vehicles,three_subordinate,0.5,0,0,11
14,2,vehicles,three_subordinate,1,0,0,11
15,2,vegetables,three_subordinate,1,0,0,11
16,2,vehicles,three_subordinate,1,1,0,11
17,2,vegetables,three_subordinate,1,1,0,11
18,2,animals,three_subordinate,1,0.5,0,11
19,2,animals,three_subordinate,1,0,0,11
20,2,vehicles,three_subordinate,1,0,0,11
21,2,animals,three_subordinate,1,0,0,11
22,2,vehicles,three_subordinate,1,0,0,11
23,2,vegetables,three_subordinate,1,0,0,11
24,2,vegetables,three_subordinate,1,1,0,11
25,2,vegetables,three_subordinate,1,1,0,11
26,2,vehicles,three_subordinate,1,0,0,11
27,2,vegetables,three_subordinate,1,0,0,11
28,2,vehicles,three_subordinate,1,0,0,11
29,2,animals,three_subordinate,1,0,0,11
30,2,vehicles,three_subordinate,1,0,0,11
31,2,vegetables,three_subordinate,1,1,1,11
32,2,vehicles,three_subordinate,1,0.5,0,11
33,2,animals,three_subordinate,1,0,0,11
34,2,vegetables,three_subordinate,1,0,0,11
35,2,animals,three_subordinate,1,0,0,11
36,2,animals,three_subordinate,1,0,0,11
37,2,vegetables,three_subordinate,1,0,0,11
38,2,vegetables,three_subordinate,0.5,0,0,11
39,2,vegetables,three_subordinate,1,1,0,11
40,2,animals,three_subordinate,1,0,0,11
41,2,vegetables,three_subordinate,1,0,0,11
42,2,vegetables,three_subordinate,1,1,0,11
43,2,vegetables,three_subordinate,1,0,0,11
44,2,vegetables,three_subordinate,1,0,0,11
45,2,animals,three_subordinate,0.5,0,0,11
46,2,animals,three_subordinate,1,1,0.25,11
47,2,animals,three_subordinate,1,0,0,11
48,2,animals,three_subordinate,0.5,0,0,11
49,2,vehicles,three_subordinate,1,0,0,11
50,2,animals,three_subordinate,1,0.5,0,11
1,5,vehicles,three_superordinate,1,1,1,11
2,5,animals,three_superordinate,1,1,1,11
3,5,vehicles,three_superordinate,1,0,0,11
4,5,vegetables,three_superordinate,1,0,0.25,11
5,5,vehicles,one,1,1,0,11
6,5,animals,three_basic,1,1,0,11
7,5,animals,three_superordinate,1,1,0.75,11
8,5,vehicles,three_superordinate,1,1,0.75,11
9,5,animals,three_superordinate,1,0,0,11
10,5,vehicles,three_basic,1,1,0,11
11,5,vegetables,three_basic,1,1,0,11
12,5,vegetables,three_basic,1,1,0,11
13,5,vegetables,one,1,1,0,11
14,5,animals,one,1,0,0,11
15,5,vehicles,one,0.5,0,0,11
16,5,animals,three_basic,1,1,0,11
17,5,animals,three_basic,0.5,0.5,0.25,11
18,5,vehicles,three_superordinate,0,0.5,0.5,11
19,5,vegetables,three_superordinate,1,1,1,11
20,5,vegetables,one,1,0,0,11
21,5,animals,three_basic,1,1,0,11
22,5,animals,one,1,0,0,11
23,5,vehicles,three_basic,0,1,0,11
24,5,animals,three_basic,1,1,0,11
25,5,vegetables,three_basic,1,1,0,11
26,5,vehicles,one,0.5,0,0,11
27,5,vegetables,three_superordinate,1,1,1,11
28,5,animals,three_basic,1,1,0,11
29,5,animals,three_basic,1,1,0,11
30,5,vehicles,one,1,0,0,11
31,5,animals,one,1,1,1,11
32,5,vehicles,three_basic,0.5,1,0.25,11
33,5,vehicles,three_basic,0.5,1,0,11
34,5,vehicles,one,0.5,0,0,11
35,5,vegetables,three_basic,1,0.5,0,11
36,5,vehicles,one,0.5,0,0,11
37,5,vehicles,three_basic,1,1,0,11
38,5,vehicles,three_superordinate,0.5,0,0,11
39,5,animals,one,1,1,0,11
40,5,animals,three_superordinate,1,1,1,11
41,5,animals,three_basic,1,1,0,11
42,5,vegetables,three_basic,1,1,0,11
43,5,animals,three_basic,0.5,1,0,11
44,5,animals,one,1,0,0,11
45,5,vehicles,three_superordinate,0.5,0,0,11
46,5,animals,three_superordinate,1,1,1,11
47,5,vehicles,three_superordinate,1,1,1,11
48,5,animals,one,1,0,0,11
49,5,vegetables,three_superordinate,1,1,1,11
50,5,vehicles,three_basic,1,0.5,0,11
1,4,vehicles,one,1,1,0,11
2,4,animals,three_basic,1,1,0,11
3,4,vegetables,one,1,0,0,11
4,4,vegetables,one,1,0,0,11
5,4,animals,three_superordinate,1,1,1,11
6,4,vehicles,three_superordinate,1,0.5,0,11
7,4,vehicles,three_basic,1,1,0,11
8,4,animals,one,1,0,0,11
9,4,vegetables,one,0.5,0,0,11
10,4,animals,one,1,1,0,11
11,4,vegetables,one,1,0,0,11
12,4,animals,one,1,0,0,11
13,4,vehicles,one,1,0,0,11
14,4,animals,three_basic,1,1,0,11
15,4,vegetables,three_superordinate,1,1,1,11
16,4,vehicles,three_basic,1,1,0,11
17,4,vehicles,three_basic,1,1,0,11
18,4,vegetables,three_basic,0.5,1,0,11
19,4,vehicles,three_basic,1,1,0,11
20,4,animals,one,1,0,0,11
21,4,vehicles,one,1,0,0,11
22,4,vegetables,three_basic,1,0,0,11
23,4,animals,three_basic,0,1,0,11
24,4,animals,one,1,1,0,11
25,4,vegetables,one,1,1,0,11
26,4,vegetables,three_basic,1,1,0,11
27,4,animals,three_superordinate,1,1,0.75,11
28,4,animals,one,1,0,0,11
29,4,vegetables,one,1,1,0,11
30,4,vehicles,three_superordinate,1,1,1,11
31,4,vehicles,three_superordinate,1,1,1,11
32,4,vegetables,three_superordinate,1,1,0.75,11
33,4,animals,one,1,0,0,11
34,4,animals,three_basic,1,1,0,11
35,4,vegetables,one,1,0,0,11
36,4,animals,one,1,0,0,11
37,4,vehicles,one,1,0.5,0,11
38,4,vegetables,one,0.5,0,0,11
39,4,vehicles,three_superordinate,1,1,0.75,11
40,4,vegetables,three_basic,1,1,0,11
41,4,animals,three_superordinate,1,1,1,11
42,4,vehicles,three_superordinate,0,0,0.25,11
43,4,vegetables,one,1,0,0,11
44,4,animals,three_superordinate,1,1,1,11
45,4,vehicles,three_basic,0.5,0,0,11
46,4,vegetables,one,1,0,0,11
47,4,vehicles,one,1,0,0,11
48,4,vehicles,three_superordinate,0,0,0.25,11
49,4,vehicles,one,1,0,0,11
50,4,animals,three_basic,1,0.5,0,11
1,7,vegetables,three_basic,1,1,0,11
2,7,vegetables,one,1,1,0,11
3,7,vegetables,three_superordinate,1,0,0,11
4,7,vehicles,one,1,0,0,11
5,7,vegetables,three_basic,1,1,0,11
6,7,vegetables,three_superordinate,1,0.5,0.25,11
7,7,animals,three_basic,1,1,0,11
8,7,animals,three_basic,1,1,0,11
9,7,vehicles,three_superordinate,1,0,0,11
10,7,vegetables,three_basic,1,1,0,11
11,7,vehicles,three_basic,1,1,0,11
12,7,animals,three_superordinate,1,1,1,11
13,7,animals,three_superordinate,1,1,1,11
14,7,vehicles,three_basic,1,1,0,11
15,7,animals,three_superordinate,1,1,1,11
16,7,animals,one,1,0,0,11
17,7,vegetables,three_basic,1,1,0,11
18,7,vehicles,three_basic,0.5,1,0,11
19,7,vegetables,three_basic,0.5,1,0,11
20,7,animals,three_basic,1,1,0,11
21,7,vehicles,three_superordinate,1,1,1,11
22,7,vehicles,three_basic,1,0.5,0,11
23,7,vehicles,three_superordinate,1,1,1,11
24,7,vegetables,three_superordinate,1,1,0.75,11
25,7,animals,three_superordinate,1,1,1,11
26,7,animals,three_superordinate,1,1,1,11
27,7,vegetables,three_basic,1,1,0,11
28,7,vehicles,one,1,0,0,11
29,7,animals,one,1,0,0,11
30,7,vegetables,three_superordinate,1,1,1,11
31,7,animals,three_basic,1,1,1,11
32,7,vegetables,three_basic,1,1,0,11
33,7,vehicles,three_superordinate,1,1,1,11
34,7,animals,three_superordinate,1,1,1,11
35,7,vehicles,three_basic,1,0.5,0,11
36,7,vegetables,one,1,0,0,11
37,7,animals,three_superordinate,0.5,1,1,11
38,7,vegetables,three_superordinate,0.5,0,0,11
39,7,vehicles,one,1,0,0,11
40,7,vehicles,three_superordinate,1,1,1,11
41,7,vegetables,three_superordinate,1,1,1,11
42,7,animals,three_superordinate,1,1,1,11
43,7,vegetables,three_superordinate,1,1,1,11
44,7,vegetables,three_superordinate,1,1,1,11
45,7,vegetables,three_superordinate,0,0.5,0,11
46,7,vegetables,three_superordinate,1,1,0.75,11
47,7,vehicles,three_basic,1,1,0,11
48,7,vegetables,three_superordinate,1,1,0,11
49,7,vegetables,one,1,1,0,11
50,7,vehicles,one,1,0.5,0,11
1,6,animals,three_basic,1,1,0,11
2,6,vegetables,three_superordinate,1,1,1,11
3,6,vehicles,one,0.5,0,0,11
4,6,animals,one,1,0,0,11
5,6,animals,three_basic,1,1,0,11
6,6,animals,three_superordinate,1,0,0,11
7,6,vegetables,three_basic,1,1,0,11
8,6,vehicles,three_basic,1,1,0,11
9,6,vehicles,three_basic,1,1,0,11
10,6,animals,three_basic,1,1,0,11
11,6,vehicles,one,1,0,0,11
12,6,vehicles,three_basic,1,0.5,0,11
13,6,vegetables,three_basic,1,1,0,11
14,6,vegetables,one,1,0,0,11
15,6,vehicles,three_superordinate,1,1,0.75,11
16,6,animals,three_superordinate,1,1,0.75,11
17,6,animals,three_superordinate,1,1,1,11
18,6,vehicles,one,1,0,0,11
19,6,vehicles,three_superordinate,1,1,0.75,11
20,6,vehicles,three_basic,1,1,0,11
21,6,vehicles,three_basic,1,1,0,11
22,6,vehicles,three_superordinate,1,0,0,11
23,6,vegetables,one,1,0,0,11
24,6,vegetables,three_basic,1,1,0,11
25,6,vegetables,three_superordinate,1,1,0.75,11
26,6,vehicles,three_superordinate,1,0,0,11
27,6,animals,three_basic,1,1,0,11
28,6,animals,three_superordinate,1,1,1,11
29,6,vegetables,three_basic,1,1,0,11
30,6,vegetables,one,1,1,0,11
31,6,vegetables,one,1,1,1,11
32,6,vehicles,three_superordinate,0.5,1,0.75,11
33,6,vegetables,one,1,0,0,11
34,6,vegetables,one,0.5,0,0,11
35,6,vegetables,three_superordinate,1,0,0,11
36,6,animals,three_basic,0,1,0,11
37,6,vegetables,three_superordinate,1,1,1,11
38,6,animals,three_superordinate,0.5,0,0,11
39,6,animals,three_basic,1,1,0,11
40,6,vegetables,three_superordinate,1,1,1,11
41,6,vegetables,one,1,0,0,11
42,6,vehicles,three_basic,1,1,0,11
43,6,vehicles,three_basic,1,1,0,11
44,6,vehicles,three_superordinate,1,1,1,11
45,6,vegetables,one,0.5,0,0,11
46,6,vehicles,three_basic,1,0.5,0.5,11
47,6,vegetables,three_basic,1,1,0,11
48,6,vegetables,one,1,0,0,11
49,6,vehicles,three_basic,1,1,0,11
50,6,vehicles,three_superordinate,0.5,0,0.5,11
1,10,vegetables,one,1,0,0,11
2,10,vegetables,three_basic,1,1,0,11
3,10,animals,three_superordinate,1,0,0,11
4,10,vehicles,three_basic,1,0.5,0,11
5,10,vegetables,one,1,1,0,11
6,10,vehicles,one,0.5,0,0,11
7,10,animals,one,1,0,0,11
8,10,vegetables,three_basic,1,1,0,11
9,10,animals,three_basic,1,0,0,11
10,10,vegetables,three_superordinate,1,0.5,0.5,11
11,10,animals,three_basic,1,1,0,11
12,10,vegetables,three_superordinate,1,1,1,11
13,10,vegetables,three_superordinate,1,1,0.75,11
14,10,vegetables,three_basic,1,1,0,11
15,10,vegetables,one,1,0,0,11
16,10,vegetables,three_basic,1,1,0,11
17,10,animals,one,1,0,0,11
18,10,animals,three_superordinate,0.5,0,0.5,11
19,10,animals,three_basic,1,1,0,11
20,10,vehicles,one,1,0,0,11
21,10,vegetables,one,1,0,0,11
22,10,animals,three_basic,1,0,0,11
23,10,vegetables,three_superordinate,1,1,1,11
24,10,vehicles,three_superordinate,1,1,1,11
25,10,vehicles,three_basic,0.5,1,0,11
26,10,animals,three_basic,1,1,0,11
27,10,vehicles,one,1,0,0,11
28,10,vegetables,three_basic,1,1,0,11
29,10,animals,three_superordinate,1,1,1,11
30,10,animals,one,1,0,0,11
31,10,vehicles,three_basic,1,1,1,11
32,10,vehicles,one,1,0,0,11
33,10,vehicles,one,1,0,0,11
34,10,vegetables,three_basic,1,1,0,11
35,10,animals,three_basic,1,0,0,11
36,10,vegetables,three_superordinate,1,1,1,11
37,10,animals,three_basic,1,1,0,11
38,10,vegetables,three_basic,1,1,0,11
39,10,vegetables,three_superordinate,1,1,1,11
40,10,animals,one,1,0,0,11
41,10,vehicles,one,1,0,0,11
42,10,animals,three_basic,1,1,0,11
43,10,animals,one,1,0,0,11
44,10,vegetables,one,1,0,0,11
45,10,animals,three_superordinate,0,0.5,0,11
46,10,vehicles,one,1,0,0,11
47,10,animals,three_superordinate,1,1,1,11
48,10,vegetables,three_basic,1,1,0,11
49,10,vegetables,three_basic,1,1,0,11
50,10,animals,three_superordinate,1,0.5,0,11
